trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_csi
2020-03-20,🔴 SELL,通信ETF,515880.SH,通信光模块,13.84,0.0,-13.84,RISK-OFF,OFF
2020-03-27,🟡 REBAL,黄金ETF,159934.SZ,周期资源,49.9,45.87,-4.03,RISK-OFF,OFF
2020-04-03,🟡 REBAL,黄金ETF,159934.SZ,周期资源,45.87,47.09,1.22,RISK-OFF,OFF
2020-04-10,🟡 REBAL,黄金ETF,159934.SZ,周期资源,47.09,47.24,0.15,RISK-OFF,OFF
2020-04-17,🟡 REBAL,黄金ETF,159934.SZ,周期资源,47.24,5.89,-41.35,RISK-ON,ON
2020-04-17,🟢 BUY,有色ETF,159980.SZ,周期资源,0.0,5.89,5.89,RISK-ON,ON
2020-04-17,🟢 BUY,医药ETF,512010.SH,医疗,0.0,11.79,11.79,RISK-ON,ON
2020-04-17,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,11.79,11.79,RISK-ON,ON
2020-04-17,🟢 BUY,酒ETF,512690.SH,大消费,0.0,11.79,11.79,RISK-ON,ON
2020-04-24,🔴 SELL,黄金ETF,159934.SZ,周期资源,5.89,0.0,-5.89,RISK-ON,ON
2020-04-24,🟡 REBAL,有色ETF,159980.SZ,周期资源,5.89,11.82,5.93,RISK-ON,ON
2020-04-24,🟡 REBAL,医药ETF,512010.SH,医疗,11.79,11.82,0.03,RISK-ON,ON
2020-04-24,🔴 SELL,房地产ETF,512200.SH,地产链,11.79,0.0,-11.79,RISK-ON,ON
2020-04-24,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,11.82,11.82,RISK-ON,ON
2020-04-24,🟡 REBAL,酒ETF,512690.SH,大消费,11.79,11.82,0.03,RISK-ON,ON
2020-04-30,🟡 REBAL,有色ETF,159980.SZ,周期资源,11.82,5.91,-5.91,RISK-ON,ON
2020-04-30,🟢 BUY,半导体ETF,512480.SH,半导体芯片,0.0,5.91,5.91,RISK-ON,ON
2020-05-08,🔴 SELL,有色ETF,159980.SZ,周期资源,5.91,0.0,-5.91,RISK-ON,ON
2020-05-08,🔴 SELL,医药ETF,512010.SH,医疗,11.82,0.0,-11.82,RISK-ON,ON
2020-05-08,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,5.91,11.75,5.84,RISK-ON,ON
2020-05-08,🟡 REBAL,军工ETF,512660.SH,高端制造,11.82,11.75,-0.07,RISK-ON,ON
2020-05-08,🟡 REBAL,酒ETF,512690.SH,大消费,11.82,11.75,-0.07,RISK-ON,ON
2020-05-08,🟢 BUY,通信ETF,515880.SH,通信光模块,0.0,5.88,5.88,RISK-ON,ON
