trade_week,Gate,Regime_csi,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2020-02-21,RISK-ON,OFF,0.6329,5,63.29,14.72,半导体芯片,15.82,7.5825,0.04,1.4875
2020-02-28,RISK-ON,OFF,0.5642,4,56.42,9.63,周期资源,14.11,-3.786,0.74,1.4312
2020-03-06,RISK-ON,OFF,0.5669,5,56.69,28.34,地产链,14.17,1.2284,0.48,1.4487
2020-03-13,RISK-ON,OFF,0.5535,6,55.35,7.59,高端制造,13.84,-1.4806,1.42,1.4273
2020-03-20,RISK-OFF,OFF,0.499,1,49.9,45.7,周期资源,49.9,-3.7196,0.38,1.3742
2020-03-27,RISK-OFF,OFF,0.4587,1,45.87,2.01,周期资源,45.87,3.8998,2.29,1.4278
2020-04-03,RISK-OFF,OFF,0.4709,1,47.09,0.61,周期资源,47.09,-0.4237,0.1,1.4217
2020-04-10,RISK-OFF,OFF,0.4724,1,47.24,0.07,周期资源,47.24,1.2341,0.03,1.4393
2020-04-17,RISK-ON,ON,0.4715,5,47.15,41.3,周期资源,11.79,-0.0649,0.0,1.4383
2020-04-24,RISK-ON,ON,0.4729,4,47.29,17.75,周期资源,11.82,0.3822,2.07,1.4438
2020-04-30,RISK-ON,ON,0.473,5,47.3,5.91,医疗,11.82,0.5941,0.89,1.4524
2020-05-08,RISK-ON,ON,0.4701,5,47.01,17.74,半导体芯片,11.75,1.4354,0.3,1.4733
2020-05-15,RISK-ON,ON,0.4698,5,46.98,0.02,半导体芯片,11.74,0.9333,0.89,1.487
2020-05-22,RISK-ON,ON,0.4524,4,45.24,23.49,周期资源,11.31,-1.8318,0.0,1.4598
2020-05-29,RISK-ON,ON,0.4581,6,45.81,17.18,周期资源,17.18,0.439,1.17,1.4662
2020-06-05,RISK-ON,ON,0.4595,5,45.95,11.52,周期资源,17.23,1.3495,0.86,1.486
2020-06-12,RISK-ON,ON,0.4848,5,48.48,7.01,周期资源,18.18,0.535,0.58,1.4939
2020-06-19,RISK-ON,OFF,0.4798,5,47.98,12.18,医疗,12.0,1.8287,0.35,1.5212
2020-06-24,RISK-ON,OFF,0.4796,5,47.96,17.99,医疗,11.99,0.8061,0.61,1.5335
2020-07-03,RISK-ON,OFF,0.4798,6,47.98,41.97,医疗,17.99,1.3523,0.9,1.5542
2020-07-10,RISK-ON,OFF,0.4524,6,45.24,18.33,半导体芯片,11.31,3.7341,2.1,1.6123
2020-07-17,RISK-ON,OFF,0.4246,6,42.46,11.66,高端制造,10.61,-2.5014,0.92,1.5719
2020-07-24,RISK-ON,OFF,0.425,4,42.5,10.63,医疗,10.62,0.5105,0.58,1.58
2020-07-31,RISK-ON,OFF,0.419,5,41.9,10.77,医疗,15.71,1.9084,0.53,1.6101
2020-08-07,RISK-ON,OFF,0.4163,6,41.63,10.54,医疗,15.61,1.7406,0.54,1.6382
2020-08-14,RISK-ON,OFF,0.4052,5,40.52,25.74,地产链,10.13,-1.476,0.53,1.614
2020-08-21,RISK-ON,OFF,0.4403,6,44.03,21.57,大消费,11.01,-0.4802,1.29,1.6062
2020-08-28,RISK-ON,OFF,0.4704,6,47.04,12.51,周期资源,11.76,1.268,1.08,1.6266
2020-09-04,RISK-ON,OFF,0.4674,6,46.74,11.83,周期资源,11.69,-0.5773,0.63,1.6172
2020-09-11,RISK-ON,OFF,0.4721,5,47.21,15.74,周期资源,25.57,-0.7433,0.59,1.6052
2020-09-18,RISK-ON,OFF,0.5283,4,52.83,15.74,大消费,13.21,0.7178,0.79,1.6167
2020-09-25,RISK-ON,OFF,0.5466,5,54.66,20.5,周期资源,22.78,-2.2581,0.79,1.5802
2020-09-30,RISK-ON,OFF,0.5502,4,55.02,7.01,周期资源,22.93,0.1522,1.02,1.5826
2020-10-09,RISK-ON,ON,0.5487,6,54.87,41.23,医疗,13.72,1.6281,0.35,1.6084
2020-10-16,RISK-ON,ON,0.5493,6,54.93,27.46,医疗,20.6,0.9884,2.06,1.6243
2020-10-23,RISK-ON,ON,0.529,5,52.9,33.83,大消费,13.23,-1.8227,1.37,1.5947
2020-10-30,RISK-ON,ON,0.5292,4,52.92,19.85,医疗,13.23,0.3785,1.69,1.6007
2020-11-06,RISK-ON,ON,0.5214,5,52.14,13.42,大消费,13.04,2.2943,0.99,1.6374
2020-11-13,RISK-ON,ON,0.5223,5,52.23,0.04,大消费,13.06,0.7963,0.67,1.6505
2020-11-20,RISK-ON,ON,0.5477,6,54.77,7.48,大消费,13.69,1.0013,0.0,1.667
2020-11-27,RISK-ON,ON,0.5462,7,54.62,13.73,周期资源,20.48,-0.0301,0.37,1.6665
2020-12-04,RISK-ON,ON,0.5501,6,55.01,13.85,周期资源,13.75,0.1342,0.69,1.6687
2020-12-11,RISK-ON,OFF,0.5471,5,54.71,13.75,周期资源,20.52,-0.3784,0.69,1.6624
2020-12-18,RISK-ON,OFF,0.5548,4,55.48,34.58,周期资源,13.87,1.271,0.69,1.6835
2020-12-25,RISK-ON,OFF,0.5541,5,55.41,13.89,医疗,20.78,1.0756,1.73,1.7016
2020-12-31,RISK-ON,OFF,0.5522,5,55.22,0.09,医疗,20.71,1.7623,0.69,1.7316
2021-01-08,RISK-ON,OFF,0.5732,4,57.32,7.95,医疗,14.33,3.6135,0.0,1.7942
2021-01-15,RISK-ON,OFF,0.566,5,56.6,21.58,高端制造,14.15,-3.3998,0.4,1.7332
2021-01-22,RISK-ON,OFF,0.5484,5,54.84,14.37,医疗,13.71,2.6085,1.08,1.7784
2021-01-29,RISK-ON,OFF,0.4871,5,48.71,29.94,医疗,20.29,-4.4198,0.72,1.6998
2021-02-05,RISK-ON,OFF,0.4842,5,48.42,16.25,医疗,20.18,2.225,1.5,1.7376
2021-02-10,RISK-ON,OFF,0.4876,5,48.76,22.32,医疗,18.29,2.0342,0.81,1.773
2021-02-19,RISK-ON,OFF,0.4856,6,48.56,30.45,周期资源,24.28,-0.8436,1.12,1.758
