mom_w,lam,top_n_a,vol_target,IS_Sh,IS_ann,Val_Sh,Val_ann,OOS_Sh,OOS_ann,OOS_dd
6,1.0,5,0.12,1.706883997568383,0.20150310681209915,1.6235588261231912,0.20241211451323826,1.8565356173387495,0.2580127565770549,-0.063840214607781
6,1.0,5,0.15,1.6873764823395572,0.23039468997647394,1.5051833907093173,0.19726381990763442,1.8221145569385395,0.29637671377961583,-0.07987453714581583
6,1.0,5,0.18,1.6526565860381428,0.25294196829973425,1.5079717084006607,0.1977589506302977,1.7663492053450431,0.3263580754306088,-0.09592125664253592
6,1.5,3,0.12,1.586719759887182,0.19288608149951236,1.818505475677729,0.2271275459156279,2.0397450771326358,0.2831033120775428,-0.07443575269665903
6,1.5,3,0.15,1.5797364173211748,0.22540609736277983,1.7105892587253577,0.22610657913480336,2.0232962750621977,0.3287649508038586,-0.09291284634380248
6,1.5,3,0.18,1.5417828065280996,0.24448202616857984,1.7174978626783741,0.2270751513711997,1.9833710080499594,0.3662123856802417,-0.1113190231827218
6,1.5,4,0.12,1.7134890429229974,0.205951011526063,1.564441759373305,0.1942099898645846,2.0154334577933137,0.27880625096337286,-0.06679526376555323
6,1.5,4,0.15,1.6972796973085285,0.2369739274293905,1.4620561985337255,0.1912424398655428,1.9969407368647158,0.32323592126374723,-0.08350514896810146
6,1.5,4,0.18,1.6567393492924787,0.2569824874705673,1.4657710138862234,0.19176505647649233,1.955178069317055,0.3594309590511422,-0.10020215814987898
6,1.5,5,0.12,1.7093685122737943,0.20194812245524663,1.6532627786803438,0.20601390399406472,1.8688316492742385,0.2591874676185597,-0.0680358376636957
6,1.5,5,0.15,1.6887408032056297,0.2310145871553937,1.5409427911678564,0.20177875697596548,1.8357572978785193,0.29790078924728536,-0.08500391856666312
6,1.5,5,0.18,1.6455764710669119,0.2512057886972807,1.5442713616299035,0.20233521613948113,1.7811474761811925,0.328243927145629,-0.10193910952310758
6,2.0,3,0.12,1.6605149040989564,0.2029879984015419,1.7880040309433343,0.22755338435220396,2.073304917164429,0.28701021965314766,-0.06978774030103396
6,2.0,3,0.15,1.6524181290864244,0.2372661846399966,1.6521830647143896,0.22343036413899897,2.0605173902426284,0.3338298280565799,-0.08718480538822648
6,2.0,3,0.18,1.6165849513762884,0.2559793615947248,1.6623759353609198,0.22567960122385888,2.023806023794479,0.37246979528967294,-0.10454470646159897
6,2.0,4,0.12,1.7238769572069612,0.20710794223789653,1.7068659594054172,0.21210408387554525,1.9605549584800763,0.2713297138623396,-0.0664701903735927
6,2.0,4,0.15,1.7072770122230119,0.2386326753333201,1.6100796159704849,0.21039435665785589,1.9366043574707446,0.3135754103292341,-0.08311564526948823
6,2.0,4,0.18,1.6691635943774799,0.2583743025661789,1.612116418966325,0.21067399189967073,1.8900138707749727,0.34753191847237486,-0.09975421318393851
6,2.0,5,0.12,1.734233295334735,0.2052782051024924,1.6655993874077346,0.20598063256780885,1.9687059333739723,0.27169696383840103,-0.061108650748026294
6,2.0,5,0.15,1.7147391962493674,0.23480871996249064,1.5694803430432172,0.20339271729464548,1.9457790714831504,0.3140578249454813,-0.07649333976284234
6,2.0,5,0.18,1.6675332200878885,0.2527531224318271,1.570555296991584,0.20354297504652874,1.9000367921338484,0.3481342759238122,-0.09190393556622978
8,1.0,3,0.12,1.6708323286763866,0.2043519918306027,1.6867787926798916,0.21191436826716537,1.7751757190654105,0.25367017990060026,-0.11313230204462599
8,1.0,3,0.15,1.6511328428797634,0.23500210101439833,1.572480156188597,0.20894231714214695,1.7309696180464411,0.2905734794449837,-0.1401515235338351
8,1.0,3,0.18,1.6075292212597627,0.2562865038230546,1.5810756202434388,0.21017079034152486,1.6670517904832385,0.3189792011183554,-0.1666630927502296
8,1.0,4,0.12,1.624316926880446,0.1957144252130778,1.444708472423205,0.17746144119224727,1.7477607198807417,0.24794121435418726,-0.11304093893813327
8,1.0,4,0.15,1.5853978042158017,0.22027067578086656,1.3601768133756569,0.17464883876178905,1.7015613677310488,0.2832549199103833,-0.14005286021446905
8,1.0,4,0.18,1.53476535185967,0.23956221217880835,1.3605483275454089,0.17469607459720504,1.6357998866513148,0.31006814342383127,-0.1665627320752171
8,1.0,5,0.12,1.6232167772136936,0.19469894849362035,1.479322847531048,0.1842870032257813,1.786453169639245,0.25314902092896285,-0.1083760515428902
8,1.0,5,0.15,1.5805803123694067,0.21940099447468975,1.3610078588380434,0.1781685412628411,1.7438744936617634,0.2899626278546221,-0.1343666744022063
